user_id,pan,fy,income_head,deductor_name,deductor_tan,gross_amount_inr,tds_amount_inr,section,quarter,date_of_credit
USR000441,LXKPG3979V,2024-25,FD_INTEREST,ICICI Bank,DELI63216A,203069.02,20306.9,194A,Q4,2024-07-01
USR000441,LXKPG3979V,2024-25,SALARY,TechSoft Solutions,HYDR49888B,2753610.11,275361.01,192,Q1,2024-11-07
USR000383,PZGPW0658H,2024-25,MF_DIVIDEND,Self,MUMR13932E,405282.87,40528.29,194K,Q3,2024-10-29
USR000383,PZGPW0658H,2024-25,SALARY,HDFC Bank,DELI52910C,1945038.94,194503.89,192,Q2,2025-03-05
USR000383,PZGPW0658H,2024-25,FD_INTEREST,Acme Corp Pvt Ltd,DELI87143A,113556.69,11355.67,194A,Q1,2024-07-08
USR000383,PZGPW0658H,2024-25,RENT,SmallBiz LLP,BLOR77647D,13665.09,1366.51,194I,Q3,2024-08-19
USR000383,PZGPW0658H,2024-25,SALARY,SmallBiz LLP,BLOR91972A,318418.45,31841.85,192,Q3,2024-06-23
USR000383,PZGPW0658H,2024-25,MF_DIVIDEND,TechSoft Solutions,BLOR16087C,360233.54,36023.35,194K,Q1,2025-02-21
USR000971,RNWPF1527D,2024-25,FD_INTEREST,ICICI Bank,CHEN71471C,122661.41,12266.14,194A,Q2,2024-09-25
USR000971,RNWPF1527D,2024-25,SALARY,Reliance Industries,MUMR62011D,2474878.04,247487.8,192,Q2,2025-01-20
USR000971,RNWPF1527D,2024-25,FD_INTEREST,SmallBiz LLP,HYDR61604A,134179.12,13417.91,194A,Q3,2024-05-18
USR000971,RNWPF1527D,2024-25,RENT,TechSoft Solutions,HYDR38569B,74675.97,7467.6,194I,Q3,2024-08-31
USR000971,RNWPF1527D,2024-25,RENT,Self,BLOR33584C,85436.67,8543.67,194I,Q4,2025-01-18
USR000971,RNWPF1527D,2024-25,RENT,ICICI Bank,DELI47073A,187683.51,18768.35,194I,Q3,2024-09-12
USR000971,RNWPF1527D,2024-25,BUSINESS_INCOME,HDFC Bank,MUMR64234A,31767.81,0.0,,Q4,2025-02-07
USR000971,RNWPF1527D,2024-25,MF_DIVIDEND,SmallBiz LLP,MUMR77745A,317806.05,31780.6,194K,Q4,2024-04-07
USR000930,IFZPP0806W,2024-25,SB_INTEREST,Acme Corp Pvt Ltd,DELI15397D,5438.87,543.89,194A,Q1,2024-12-06
USR000930,IFZPP0806W,2024-25,EQUITY_DIVIDEND,Self,CHEN22460B,354564.28,35456.43,194,Q4,2024-11-02
USR000930,IFZPP0806W,2024-25,RENT,Self,HYDR45666C,425231.17,42523.12,194I,Q4,2025-01-12
USR000930,IFZPP0806W,2024-25,BUSINESS_INCOME,Acme Corp Pvt Ltd,DELI40919D,57172.54,0.0,,Q2,2024-09-13
USR000930,IFZPP0806W,2024-25,PROFESSIONAL_FEE,Acme Corp Pvt Ltd,DELI34573A,223419.7,22341.97,194J,Q4,2024-09-22
USR000930,IFZPP0806W,2024-25,SB_INTEREST,Self,CHEN53174C,12657.79,1265.78,194A,Q2,2024-11-03
USR000930,IFZPP0806W,2024-25,SALARY,ICICI Bank,HYDR84963B,3065603.57,306560.36,192,Q4,2024-12-12
USR000638,AYQPA2229Z,2024-25,SB_INTEREST,Reliance Industries,MUMR49867E,14948.81,1494.88,194A,Q2,2024-05-23
USR000638,AYQPA2229Z,2024-25,PROFESSIONAL_FEE,HDFC Bank,BLOR69782A,260683.22,26068.32,194J,Q1,2024-12-30
USR000638,AYQPA2229Z,2024-25,SB_INTEREST,SmallBiz LLP,CHEN86316D,6432.7,643.27,194A,Q3,2024-07-17
USR000638,AYQPA2229Z,2024-25,PROFESSIONAL_FEE,Acme Corp Pvt Ltd,HYDR13293B,225727.04,22572.7,194J,Q2,2024-11-05
USR000638,AYQPA2229Z,2024-25,RENT,HDFC Bank,MUMR99754D,85228.42,8522.84,194I,Q1,2024-09-25
USR000638,AYQPA2229Z,2024-25,BUSINESS_INCOME,Acme Corp Pvt Ltd,BLOR77033E,210924.56,0.0,,Q3,2024-06-26
USR000638,AYQPA2229Z,2024-25,FD_INTEREST,HDFC Bank,CHEN85769B,230941.54,23094.15,194A,Q2,2024-10-30
USR000638,AYQPA2229Z,2024-25,EQUITY_DIVIDEND,HDFC Bank,HYDR79801E,493365.92,49336.59,194,Q2,2024-05-24
USR000285,MTOPM0151J,2024-25,SB_INTEREST,Acme Corp Pvt Ltd,BLOR60616C,14641.21,1464.12,194A,Q4,2024-07-18
USR000285,MTOPM0151J,2024-25,SALARY,Reliance Industries,BLOR20809D,2697073.77,269707.38,192,Q1,2024-06-01
USR000285,MTOPM0151J,2024-25,FD_INTEREST,Self,HYDR52858C,92868.09,9286.81,194A,Q3,2024-09-21
USR000285,MTOPM0151J,2024-25,MF_DIVIDEND,SBI,BLOR39719B,280201.58,28020.16,194K,Q2,2025-01-11
USR000285,MTOPM0151J,2024-25,FD_INTEREST,Acme Corp Pvt Ltd,BLOR14332D,8971.29,0.0,194A,Q1,2024-08-07
USR000285,MTOPM0151J,2024-25,MF_DIVIDEND,SmallBiz LLP,HYDR80258C,80565.7,8056.57,194K,Q1,2024-12-29
USR000285,MTOPM0151J,2024-25,FD_INTEREST,Self,MUMR74678C,99876.94,9987.69,194A,Q4,2024-10-13
USR000285,MTOPM0151J,2024-25,SALARY,Reliance Industries,BLOR12926B,436192.92,43619.29,192,Q4,2024-09-30
USR000531,KTEPQ9588Z,2024-25,PROFESSIONAL_FEE,SBI,CHEN33463D,123525.37,12352.54,194J,Q1,2024-12-21
USR000531,KTEPQ9588Z,2024-25,FD_INTEREST,ICICI Bank,BLOR57679A,67284.94,6728.49,194A,Q3,2024-04-29
USR000531,KTEPQ9588Z,2024-25,FD_INTEREST,Reliance Industries,MUMR37592B,92152.56,9215.26,194A,Q1,2024-05-24
