txn_id,ts,payer_user_id,payer_vpa,payee_name,payee_vpa,mcc,amount_inr,currency,txn_type,status,rrn,failure_reason,device_os,city_tier
UPI14729038701735,2025-10-03 10:26:02,USR000679,tanvi51@okaxis,BSE,508@paytm,5411,295.67,INR,P2M,SUCCESS,319810211398,,iOS,T1
UPI71998990776923,2025-10-11 23:41:11,USR000679,tanvi82@ibl,Murugan Rao,412@paytm,5732,4969.41,INR,P2P,SUCCESS,977577163859,,iOS,T1
UPI94363267629970,2025-02-12 04:28:05,USR000679,tanvi45@okicici,Amazon,489@okicici,5912,1754.06,INR,P2M,SUCCESS,887228718905,,iOS,T1
UPI47220666394978,2025-05-29 03:17:56,USR000679,tanvi24@okstatebank,Swiggy,849@okicici,6011,3290.42,INR,P2M,FAILURE,984378986153,INSUFFICIENT_BALANCE,iOS,T1
UPI62026765896696,2025-12-19 10:22:57,USR000679,tanvi18@apl,BSE,468@okstatebank,5411,422.03,INR,P2M,SUCCESS,425379086813,,iOS,T1
UPI70434095146046,2025-08-10 05:30:25,USR000679,tanvi2@okaxis,RedBus,745@apl,5311,368.14,INR,P2M,SUCCESS,910683469989,,iOS,T1
UPI45133808136342,2025-02-18 11:55:06,USR000679,tanvi77@paytm,Groww,995@okaxis,5912,153.96,INR,P2M,SUCCESS,382307559113,,iOS,T1
UPI23061972205848,2025-04-28 23:16:21,USR000679,tanvi19@okicici,SBI Card,442@okicici,5311,3725.19,INR,BillPay,SUCCESS,220924308242,,iOS,T1
UPI95338223567211,2025-09-18 13:08:39,USR000679,tanvi60@okstatebank,BSNL,374@ibl,6011,460.13,INR,P2M,SUCCESS,852426133361,,iOS,T1
UPI86851535315696,2025-08-20 03:50:35,USR000679,tanvi37@ybl,Lavanya Rao,701@ibl,5411,31627.36,INR,P2P,SUCCESS,545674821315,,iOS,T1
UPI58369310928064,2025-02-22 13:37:40,USR000679,tanvi71@ybl,Amazon,809@okstatebank,5814,986.95,INR,BillPay,PENDING,119803504251,,iOS,T1
UPI87658213445232,2025-07-31 10:29:15,USR000679,tanvi36@ybl,Velan Joshi,799@paytm,5912,290.25,INR,P2P,SUCCESS,718133245099,,iOS,T1
UPI39841824998898,2025-05-02 08:09:01,USR000679,tanvi46@okhdfcbank,BMTC,946@ibl,5912,36481.33,INR,P2M,SUCCESS,534119624275,,iOS,T1
UPI66031936582885,2025-08-02 11:20:22,USR000679,tanvi48@upi,Vikram Roy,938@ibl,5311,1692.58,INR,P2P,SUCCESS,393110965219,,iOS,T1
UPI16873958286002,2025-10-15 01:21:38,USR000679,tanvi39@apl,Velan Kulkarni,285@okaxis,5411,11471.48,INR,P2P,SUCCESS,498383385663,,iOS,T1
UPI25427657810542,2025-01-19 09:50:32,USR000679,tanvi74@ibl,Myntra,831@apl,6011,1781.21,INR,BillPay,SUCCESS,387500153381,,iOS,T1
UPI12643420685813,2025-09-27 15:40:12,USR000679,tanvi99@upi,Rahul Krishnan,304@paytm,5732,3232.18,INR,P2P,SUCCESS,121644420890,,iOS,T1
UPI57617857249844,2025-08-09 18:34:46,USR000679,tanvi5@paytm,BESCOM,839@okicici,6011,45505.55,INR,P2M,SUCCESS,666837251284,,iOS,T1
UPI75139965683934,2025-12-05 06:23:34,USR000679,tanvi80@okicici,BSE,653@okstatebank,5311,176.69,INR,P2M,SUCCESS,509323700155,,iOS,T1
UPI21946000181348,2025-02-17 10:25:01,USR000679,tanvi77@ybl,SBI Card,831@ibl,5814,3193.8,INR,P2M,SUCCESS,833137354001,,iOS,T1
UPI17762063900042,2025-01-22 09:22:47,USR000990,ananth97@okhdfcbank,PolicyBazaar,953@ybl,5912,28961.08,INR,P2M,FAILURE,281607418513,BANK_DOWN,Android,T3
UPI48595753693796,2025-03-28 03:11:55,USR000990,ananth30@okaxis,INDmoney,656@ibl,4814,246.62,INR,BillPay,SUCCESS,844125591587,,Android,T3
UPI39001543238905,2025-01-07 22:52:35,USR000990,ananth87@okaxis,Indane Gas,538@okhdfcbank,5912,384.93,INR,P2M,SUCCESS,140199937010,,Android,T3
UPI54156171508538,2025-11-23 05:28:08,USR000990,ananth10@upi,INDmoney,187@ibl,5732,266.62,INR,BillPay,SUCCESS,602003868862,,Android,T3
UPI19389319687592,2025-04-19 13:55:30,USR000990,ananth8@upi,Uber,199@okicici,6011,140.77,INR,P2M,SUCCESS,484150740896,,Android,T3
UPI47666933254495,2025-05-14 20:24:10,USR000990,ananth96@apl,Groww,992@apl,5912,381.47,INR,BillPay,SUCCESS,537407503488,,Android,T3
UPI37062819161139,2025-01-12 01:55:20,USR000990,ananth97@ibl,Petrol Pump-HPCL,726@okstatebank,5732,180.27,INR,P2M,SUCCESS,647840102999,,Android,T3
UPI72415571463543,2025-12-19 03:43:33,USR000990,ananth87@okaxis,Uber,350@okicici,5814,37.48,INR,P2M,SUCCESS,705083769272,,Android,T3
UPI18627335917513,2025-03-19 15:24:39,USR000990,ananth40@paytm,Local Kirana,633@okhdfcbank,5411,134303.81,INR,P2M,SUCCESS,934059989698,,Android,T3
UPI93297950847904,2025-06-07 05:52:00,USR000990,ananth71@ybl,Myntra,781@ibl,6011,260.49,INR,BillPay,SUCCESS,734960558833,,Android,T3
UPI63633347433618,2025-05-23 17:23:08,USR000990,ananth53@paytm,Swiggy,508@okhdfcbank,5411,26.99,INR,P2M,FAILURE,726544692981,BANK_DOWN,Android,T3
UPI71086793339975,2025-09-07 02:22:25,USR000990,ananth29@okaxis,RedBus,714@paytm,5732,2605.48,INR,P2M,SUCCESS,353640751818,,Android,T3
UPI33481752491812,2025-08-03 04:00:41,USR000990,ananth35@okaxis,SBI Card,944@ybl,5812,1532.37,INR,BillPay,SUCCESS,569710862499,,Android,T3
UPI21645999748777,2025-05-31 20:08:14,USR000990,ananth43@paytm,Asma Pillai,486@ibl,5411,177.74,INR,P2P,SUCCESS,457582889149,,Android,T3
UPI31248759820156,2025-10-25 19:02:58,USR000990,ananth84@upi,Decathlon,187@apl,4814,236.2,INR,P2M,SUCCESS,908051789486,,Android,T3
UPI56638602552513,2025-01-28 08:51:07,USR000990,ananth75@upi,Asma Rao,196@okaxis,5311,495.69,INR,P2P,SUCCESS,101347034389,,Android,T3
UPI76897449900659,2025-07-15 15:12:24,USR000990,ananth82@upi,Imran Mukherjee,740@okstatebank,4111,4379.02,INR,P2P,SUCCESS,348282677522,,Android,T3
UPI39724219204167,2025-07-02 07:47:53,USR000990,ananth13@okicici,Flipkart,947@ibl,6011,117.24,INR,P2M,SUCCESS,541286470124,,Android,T3
UPI19148545391677,2025-10-27 23:51:55,USR000990,ananth11@okstatebank,BMTC,656@okaxis,5311,2089.07,INR,BillPay,SUCCESS,191620887074,,Android,T3
UPI81555347261400,2025-10-17 07:54:48,USR000990,ananth10@ybl,PolicyBazaar,202@paytm,5311,4680.54,INR,P2M,SUCCESS,132110386616,,Android,T3
UPI90030814524870,2025-06-26 02:14:51,USR000990,ananth7@apl,Siddharth Verma,185@upi,5411,311.92,INR,P2P,SUCCESS,332954946301,,Android,T3
UPI44234663049424,2025-02-06 10:46:17,USR000990,ananth68@ibl,Pooja Desai,490@ybl,5732,273.19,INR,P2P,SUCCESS,940833064868,,Android,T3
